PLAYER,PLAYER_link,AVG Salary,Type
"Anthony Davis","https://www.spotrac.com/redirect/player/10809/","$37,980,720","UFA"
"Brandon Ingram","https://www.spotrac.com/redirect/player/20207/","$31,650,600","RFA"
"Gordon Hayward","https://www.spotrac.com/redirect/player/6891/","$30,000,000","UFA"
"Fred VanVleet","https://www.spotrac.com/redirect/player/20778/","$21,250,000","UFA"
"Davis Bertans","https://www.spotrac.com/redirect/player/8094/","$20,475,000","UFA"
"Joe Harris","https://www.spotrac.com/redirect/player/15385/","$20,002,500","UFA"
"Bogdan Bogdanovic","https://www.spotrac.com/redirect/player/15379/","$18,750,000","UFA"
"Marcus Morris Sr.","https://www.spotrac.com/redirect/player/8065/","$18,000,000","RFA"
"Danilo Gallinari","https://www.spotrac.com/redirect/player/6138/","$18,000,000","UFA"
"Jerami Grant","https://www.spotrac.com/redirect/player/15391/","$16,000,000","UFA"
"Malik Beasley","https://www.spotrac.com/redirect/player/20224/","$16,000,000","UFA"
"Jordan Clarkson","https://www.spotrac.com/redirect/player/15398/","$15,000,000","RFA"
"Christian Wood","https://www.spotrac.com/redirect/player/18218/","$13,666,667","UFA"
"Kentavious Caldwell-Pope","https://www.spotrac.com/redirect/player/13321/","$13,038,862","UFA"
"De'Anthony Melton","https://www.spotrac.com/redirect/player/27012/","$12,880,000","UFA"
"Jae Crowder","https://www.spotrac.com/redirect/player/10859/","$10,449,348","UFA"
"Derrick Favors","https://www.spotrac.com/redirect/player/6884/","$10,000,000","UFA"
"Dario Saric","https://www.spotrac.com/redirect/player/15364/","$9,720,900","UFA"
"Jakob Poeltl","https://www.spotrac.com/redirect/player/20214/","$9,720,900","UFA"
"Mason Plumlee","https://www.spotrac.com/redirect/player/13335/","$9,489,450","UFA"
"Juan Hernangomez","https://www.spotrac.com/redirect/player/20220/","$9,489,450","UFA"
"D.J. Augustin","https://www.spotrac.com/redirect/player/6088/","$9,489,450","UFA"
"Rodney Hood","https://www.spotrac.com/redirect/player/15375/","$9,489,450","UFA"
"Tristan Thompson","https://www.spotrac.com/redirect/player/8054/","$9,400,000","UFA"
"Serge Ibaka","https://www.spotrac.com/redirect/player/6313/","$9,000,000","RFA"
"Montrezl Harrell","https://www.spotrac.com/redirect/player/17860/","$8,750,000","RFA"
"Derrick Jones Jr.","https://www.spotrac.com/redirect/player/21067/","$8,656,922","RFA"
"Justin Holiday","https://www.spotrac.com/redirect/player/11441/","$8,220,833","UFA"
"Goran Dragic","https://www.spotrac.com/redirect/player/6146/","$7,500,000","UFA"
"Pat Connaughton","https://www.spotrac.com/redirect/player/17869/","$7,379,754","UFA"
"Rajon Rondo","https://www.spotrac.com/redirect/player/2222/","$7,300,000","UFA"
"JaMychal Green","https://www.spotrac.com/redirect/player/11666/","$7,175,000","UFA"
"Aron Baynes","https://www.spotrac.com/redirect/player/11850/","$7,012,440","RFA"
"Chris Boucher","https://www.spotrac.com/redirect/player/23671/","$7,000,000","UFA"
"Jevon Carter","https://www.spotrac.com/redirect/player/26998/","$6,760,000","RFA"
"Paul Millsap","https://www.spotrac.com/redirect/player/2754/","$6,006,420","UFA"
"Kris Dunn","https://www.spotrac.com/redirect/player/20210/","$6,000,000","UFA"
"Austin Rivers","https://www.spotrac.com/redirect/player/10818/","$5,635,000","UFA"
"Josh Jackson","https://www.spotrac.com/redirect/player/23599/","$5,333,333","UFA"
"Trey Burke","https://www.spotrac.com/redirect/player/13322/","$5,000,000","UFA"
"Meyers Leonard","https://www.spotrac.com/redirect/player/10819/","$5,000,000","UFA"
"John Konchar","https://www.spotrac.com/redirect/player/32170/","$4,886,175","UFA"
"Willie Cauley-Stein","https://www.spotrac.com/redirect/player/17834/","$4,767,000","UFA"
"Bobby Portis","https://www.spotrac.com/redirect/player/17850/","$4,767,000","UFA"
"Robin Lopez","https://www.spotrac.com/redirect/player/6147/","$4,100,000","UFA"
"Michael Carter-Williams","https://www.spotrac.com/redirect/player/13324/","$3,833,333","RFA"
"Kenrich Williams","https://www.spotrac.com/redirect/player/27758/","$3,713,575","UFA"
"Alec Burks","https://www.spotrac.com/redirect/player/8063/","$3,623,000","UFA"
"Jontay Porter","https://www.spotrac.com/redirect/player/47359/","$3,623,000","UFA"
"Avery Bradley","https://www.spotrac.com/redirect/player/6901/","$3,500,000","UFA"
"Chimezie Metu","https://www.spotrac.com/redirect/player/27015/","$3,325,000","UFA"
"Joshia Gray","https://www.spotrac.com/redirect/player/24953/","$3,300,000","UFA"
"Drew Eubanks","https://www.spotrac.com/redirect/player/28052/","$3,300,000","UFA"
"Marc Gasol","https://www.spotrac.com/redirect/player/6122/","$3,150,000","UFA"
"Nerlens Noel","https://www.spotrac.com/redirect/player/13319/","$3,077,704","UFA"
"Zylan Cheatham","https://www.spotrac.com/redirect/player/32461/","$2,628,872","UFA"
"Bryn Forbes","https://www.spotrac.com/redirect/player/20796/","$2,564,753","UFA"
"Elfrid Payton","https://www.spotrac.com/redirect/player/15362/","$2,564,753","UFA"
"Garrett Temple","https://www.spotrac.com/redirect/player/6492/","$2,564,753","UFA"
"Gary Clark","https://www.spotrac.com/redirect/player/27627/","$2,564,753","UFA"
