PLAYER,PLAYER_link,AVG Salary,Type
"Markus Howard","https://www.spotrac.com/redirect/player/70705/","-","RFA"
"Ignas Brazdeikis","https://www.spotrac.com/redirect/player/31606/","-","UFA"
"Killian Tillie","https://www.spotrac.com/redirect/player/70714/","-","RFA"
"Trent Forrest","https://www.spotrac.com/redirect/player/70708/","-","RFA"
"Nathan Knight","https://www.spotrac.com/redirect/player/70772/","-","UFA"
"Rayjon Tucker","https://www.spotrac.com/redirect/player/32785/","-","RFA"
"Andre Iguodala","https://www.spotrac.com/redirect/player/2652/","-","UFA"
"J.J. Redick","https://www.spotrac.com/redirect/player/2643/","-","UFA"
"Cristiano Felicio","https://www.spotrac.com/redirect/player/17990/","-","UFA"
"Aron Baynes","https://www.spotrac.com/redirect/player/11850/","-","UFA"
"Rodney McGruder","https://www.spotrac.com/redirect/player/13575/","-","UFA"
"Mike Scott","https://www.spotrac.com/redirect/player/10868/","-","UFA"
"Ed Davis","https://www.spotrac.com/redirect/player/6895/","-","UFA"
"Nicolo Melli","https://www.spotrac.com/redirect/player/31886/","-","UFA"
"Wesley Matthews","https://www.spotrac.com/redirect/player/6489/","-","UFA"
"Bismack Biyombo","https://www.spotrac.com/redirect/player/8057/","-","UFA"
"James Ennis III","https://www.spotrac.com/redirect/player/13363/","-","UFA"
"Marc Gasol","https://www.spotrac.com/redirect/player/6122/","-","UFA"
"Jared Dudley","https://www.spotrac.com/redirect/player/2228/","-","UFA"
"Brad Wanamaker","https://www.spotrac.com/redirect/player/27289/","-","UFA"
"Matthew Dellavedova","https://www.spotrac.com/redirect/player/13478/","-","UFA"
"Tyler Johnson","https://www.spotrac.com/redirect/player/15645/","-","UFA"
"Damyean Dotson","https://www.spotrac.com/redirect/player/23645/","-","UFA"
"JaKarr Sampson","https://www.spotrac.com/redirect/player/15838/","-","UFA"
"Alfonzo McKinnie","https://www.spotrac.com/redirect/player/24106/","-","UFA"
"Isaiah Hartenstein","https://www.spotrac.com/redirect/player/23644/","-","UFA"
"Alen Smailagic","https://www.spotrac.com/redirect/player/31598/","-","UFA"
"Nando De Colo","https://www.spotrac.com/redirect/player/11013/","-","RFA"
"Matt Thomas","https://www.spotrac.com/redirect/player/31891/","-","UFA"
"Ersan Ilyasova","https://www.spotrac.com/redirect/player/6341/","-","UFA"
"Brandon Goodwin","https://www.spotrac.com/redirect/player/28020/","-","UFA"
"Caleb Homesley","https://www.spotrac.com/redirect/player/70756/","-","UFA"
"Norvel Pelle","https://www.spotrac.com/redirect/player/27836/","-","UFA"
"Yogi Ferrell","https://www.spotrac.com/redirect/player/20283/","-","UFA"
"Jeff Teague","https://www.spotrac.com/redirect/player/6272/","-","UFA"
"Deonte Burton","https://www.spotrac.com/redirect/player/28767/","-","UFA"
"Troy Daniels","https://www.spotrac.com/redirect/player/13383/","-","UFA"
"DeMarcus Cousins","https://www.spotrac.com/redirect/player/6886/","-","UFA"
"Tim Frazier","https://www.spotrac.com/redirect/player/15755/","-","UFA"
"Anthony Tolliver","https://www.spotrac.com/redirect/player/6483/","-","UFA"
"Rondae Hollis-Jefferson","https://www.spotrac.com/redirect/player/17851/","-","UFA"
"Sindarius Thornwell","https://www.spotrac.com/redirect/player/23649/","-","UFA"
"Mike James","https://www.spotrac.com/redirect/player/24021/","-","UFA"
"Skylar Mays","https://www.spotrac.com/redirect/player/70692/","-","RFA"
"Tyler Bey","https://www.spotrac.com/redirect/player/70678/","-","UFA"
"Nate Darling","https://www.spotrac.com/redirect/player/70703/","-","UFA"
"Jeremiah Martin","https://www.spotrac.com/redirect/player/32318/","-","UFA"
"Jaylen Hoard","https://www.spotrac.com/redirect/player/31893/","-","UFA"
"Kostas Antetokounmpo","https://www.spotrac.com/redirect/player/27026/","-","UFA"
"Devontae Cacok","https://www.spotrac.com/redirect/player/32199/","-","UFA"
"Nico Mannion","https://www.spotrac.com/redirect/player/70690/","-","RFA"
"Axel Toupane","https://www.spotrac.com/redirect/player/18042/","-","UFA"
"Gary Clark","https://www.spotrac.com/redirect/player/27627/","-","UFA"
"Adam Mokoka","https://www.spotrac.com/redirect/player/31961/","-","UFA"
"Frank Mason III","https://www.spotrac.com/redirect/player/23629/","-","UFA"
"James Nunnally","https://www.spotrac.com/redirect/player/13578/","-","UFA"
"TJ Leaf","https://www.spotrac.com/redirect/player/23613/","-","UFA"
"Justin Jackson","https://www.spotrac.com/redirect/player/23610/","-","UFA"
"Johnny Hamilton","https://www.spotrac.com/redirect/player/28040/","-","RFA"
"Kevin Pangos","https://www.spotrac.com/redirect/player/74456/","-","UFA"
"Quinndary Weatherspoon","https://www.spotrac.com/redirect/player/31608/","-","UFA"
"Amida Brimah","https://www.spotrac.com/redirect/player/24503/","-","UFA"
"","","$7,893,620",""
