PLAYER,AVG Salary,Type
"Ekpe Udoh","-","UFA"
"Guerschon Yabusele","-","UFA"
"Dante Cunningham","-","UFA"
"Luol Deng","-","UFA"
"Jamal Crawford","-","UFA"
"Jose Calderon","-","UFA"
"Raymond Felton","-","UFA"
"Amir Johnson","-","UFA"
"Zaza Pachulia","-","UFA"
"Channing Frye","-","UFA"
"Devin Harris","-","UFA"
"Jonas Jerebko","-","UFA"
"Quincy Pondexter","-","UFA"
"Shelvin Mack","-","UFA"
"Corey Brewer","-","UFA"
"Sam Dekker","-","UFA"
"Jerian Grant","-","UFA"
"Nerlens Noel","-","UFA"
"Justin Anderson","-","UFA"
"Ian Clark","-","UFA"
"Joakim Noah","-","UFA"
"Noah Vonleh","-","UFA"
"Christian Wood","-","UFA"
"David Nwaba","-","UFA"
"Antonio Blakeney","-","UFA"
"Wayne Selden","-","UFA"
"Frank Mason III","-","UFA"
"Tyler Dorsey","-","UFA"
"Thomas Bryant","-","RFA"
"Jordan Bell","-","RFA"
"Chris Chiozza","-","UFA"
"Yante Maten","-","UFA"
"Duncan Robinson","-","RFA"
"Henry Ellenson","-","UFA"
"Kenneth Faried","-","UFA"
"Chasson Randle","-","UFA"
"Walter Lemon Jr.","-","UFA"
"Jaylen Adams","-","UFA"
"Dairis Bertans","-","UFA"
"B.J. Johnson","-","UFA"
"Tarik Phillip","-","UFA"
"Jeremy Lin","-","UFA"
"Enes Freedom","-","UFA"
"Nik Stauskas","-","UFA"
"Salah Mejri","-","UFA"
"Andrew Bogut","-","UFA"
"John Jenkins","-","UFA"
"Jimmer Fredette","-","UFA"
"Jodie Meeks","-","UFA"
"Ray Spalding","-","UFA"
"Donatas Motiejunas","-","UFA"
"Isaac Humphries","-","UFA"
"Jonathan Gibson","-","UFA"
"Billy Garrett","-","UFA"
"Greg Monroe","-","UFA"
"Tyler Zeller","-","UFA"
"Eric Moreland","-","UFA"
"Deyonta Davis","-","UFA"
"Mitch Creek","-","UFA"
"Zach Lofton","-","RFA"
"David Stockton","-","UFA"
"Marcus Derrickson","-","UFA"
"Johnathan Williams","-","RFA"
"Ben Moore","-","RFA"
"Jaron Blossomgame","-","UFA"
"Jalen Jones","-","RFA"
"Brandon Goodwin","-","UFA"
"Donte Grantham","-","UFA"
"R.J. Hunter","-","UFA"
"Alan Williams","-","UFA"
"Julian Washburn","-","UFA"
"J.P. Macura","-","UFA"
"George King","-","UFA"
"Brandon Sampson","-","UFA"
"Angel Delgado","-","UFA"
"Troy Caupain","-","RFA"
"Johnathan Motley","-","UFA"
"Trevon Bluiett","-","UFA"
"Troy Williams","-","UFA"
"Deng Adel","-","UFA"
"Damion Lee","-","RFA"
"Jakeenan Gant","-","UFA"
"Naz Mitrou-Long","-","UFA"
"Jason Smith","-","UFA"
"Thanasis Antetokounmpo","-","UFA"
"Keenan Evans","-","RFA"
"Jalen Lecque","-","UFA"
"Rawle Alkins","-","UFA"
"Anthony Bennett","-","UFA"
"Alex Poythress","-","UFA"
"Ben McLemore","-","UFA"
"Joe Chealey","-","UFA"
"Thomas Welsh","-","UFA"
"Amile Jefferson","-","UFA"
"Andrew Harrison","-","UFA"
"Daryl Macon","-","UFA"
"C.J. Williams","-","UFA"
"Tyler Cavanaugh","-","UFA"
"Abdul Gaddy","-","RFA"
"Jordan Loyd","-","UFA"
"Totals","-",""
"","$12,075,325",""
