player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,RS,TOR,2149,1071,-2.89507708953181,1.473016244916743,-1.422060844615067,-2.346134629595817,2.538722063563862,.1925874339680451,-2.99226263243729,1.786970302906248,-1.205292329531041,.8359051628017705,.8359051628017705,0,-2.678890608345171,1.801562358626605,-.8773282497185662,-.965478090939986
Steven Adams,adamsst01,2022,RS,MEM,2890,1397,.442442340843464,2.322578755197844,2.765021096041308,6.034827298075003,-.4964992605054208,5.538328037569582,1.601639330424354,1.846922744320306,3.448562074744659,4.410495766771414,4.410495766771414,0,1.700066802304316,2.433216212529866,4.133283014834182,-.1701052088704338
Bam Adebayo,adebaba01,2022,RS,MIA,2146,1057,-1.109036269984824,3.460180458729068,2.351144188744245,-2.248422663427188,3.969624076810903,1.721201413383715,-1.449162433579959,3.743448693192425,2.294286259612466,2.736491331968689,2.736491331968689,0,-1.204513058327495,3.105964448437504,1.90145139011001,.5947637530003171
Santi Aldama,aldamsa01,2022,RS,MEM,585,277,-2.941332061762857,-2.858172663946752,-5.799504725709609,-3.38534908190957,2.838253847449009,-.5470952344605609,-3.261770495867466,-1.886433122913637,-5.148203618781103,-.3389741186086971,-.3389741186086971,0,-2.108232429977173,-2.733779926233023,-4.842012356210196,.0138579154804293
LaMarcus Aldridge,aldrila01,2022,RS,BRK,1729,825,-.1094673080780161,2.716254211125159,2.606786903047143,3.153116241443511,.3661485390080396,3.51926478045155,.5399362815907107,2.407929751028179,2.94786603261889,2.39145419528718,2.39145419528718,0,.7181155120982243,1.357052215473661,2.075167727571886,-.2857690516979973
Nickeil Alexander-Walker,alexani01,2022,RS,UTA,3,1,-6.771930450336759,-18.49081684446809,-25.26274729480485,-2.509911631777721,-30.2912794698301,-32.80119110160782,-6.321046443771849,-22.2486033854636,-28.56964982923545,-.013087528855575,-.013087528855575,0,-7.950568335888273,-19.40003498157064,-27.35060331745892,-.6493395536626398
Nickeil Alexander-Walker,alexani01,2022,RS,NOP,2717,1317,-1.523506535206951,-1.435463364712916,-2.958969899919867,-.9507543076602797,-1.983787496411336,-2.934541804071616,-1.446433538580049,-1.609608691014459,-3.056042229594508,-.2071470588915503,-.2071470588915503,0,-.5704159149416984,-1.702169458669927,-2.272585373611626,.731856991246017
Grayson Allen,allengr01,2022,RS,MIL,2788,1323,.894544674309891,.1724539347095206,1.066998609019412,1.025524885489972,1.746968804013907,2.772493689503879,.9529197210899312,.4895309489958013,1.442450670085732,2.83041260074515,2.83041260074515,0,.7795857399123248,.3350364866872856,1.11462222659961,.0187395634978356
Jarrett Allen,allenja01,2022,RS,CLE,3243,1597,.4013632238352186,3.986658376455014,4.388021600290232,1.793429499565063,.6742560187714135,2.467685518336476,.7186406014993731,3.458474403526944,4.177115005026318,5.611231773585208,5.611231773585208,0,.2708401866954435,3.019366110477607,3.290206297173051,-.5822473321082192
Jose Alvarado,alvarjo01,2022,RS,NOP,779,373,1.781061847659346,4.22627424910138,6.007336096760726,3.23615715690473,4.159478493177711,7.395635650082442,2.218677528126456,4.500858658393665,6.719536186520122,1.795573896141379,1.795573896141379,0,1.826253436271627,3.672738944283737,5.498992380555364,-.3614363573038456
Justin Anderson,anderju01,2022,RS,IND,61,30,-1.217365029475103,4.653582513451498,3.436217483976395,2.565655808416758,6.126558596043308,8.692214404460067,-.4997234754849107,5.289678775342498,4.789955299857588,.1162823125974627,.1162823125974627,0,-.08509738001004,3.331552431333574,3.246455051323534,.7578014414625625
Justin Anderson,anderju01,2022,RS,CLE,102,47,.1060375529579147,-6.093880879295449,-5.987843326337535,18.59524918475249,6.043281295779993,24.63853048053248,3.93481071329091,-4.054646552808526,-.1198358395176156,.0632846465476065,.0632846465476065,0,1.368212240642352,-4.688697088205677,-3.320484847563324,.3402464112279793
Kyle Anderson,anderky01,2022,RS,MEM,2136,998,-1.109411471866434,.4100258623408856,-.6993856095255484,-2.801038484463271,.7427027053587959,-2.058335779104475,-1.570714513620811,.4704615007946003,-1.100253012826211,.8390758931285839,.8390758931285839,0,-1.366720230950215,.9100730852049014,-.4566471457453137,-.1119408930064534
Giannis Antetokounmpo,antetgi01,2022,RS,MIL,3263,1528,5.61453514290744,1.892759192065992,7.507294334973432,2.836723830001919,3.00707487643911,5.843798706441029,5.320856559751602,2.220917731848797,7.541774291600399,8.152374266799233,8.152374266799233,0,4.574085522528023,1.611344510917721,6.185430033445744,1.606289977574168
Thanasis Antetokounmpo,antetth01,2022,RS,MIL,749,355,-4.491510939307455,.607990239261488,-3.883520700045967,-4.725096761513068,-4.546042557976415,-9.271139319489484,-4.839283527751343,-.4467129182681428,-5.285996446019486,-.4591200655973116,-.4591200655973116,0,-4.135078625684033,-.4941441027742493,-4.629222728458282,-.0439492646334876
Carmelo Anthony,anthoca01,2022,RS,LAL,2835,1327,.8468470926061925,-1.563230274696951,-.7163831820907588,2.071671297045626,1.101959246574146,3.173630543619772,1.178277498135674,-1.093502992916825,.0847745052188493,1.914632401491283,1.914632401491283,0,.6223132904985139,-1.472210744376201,-.849897453877687,-.2398836828125392
